 AgntStrts: ,23, EstInteractns: ,1011, InteractnsHndld: ,1021, HndlTme: ,9.9, ASR: ,14.47, EstUtil: ,0.92, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,24, EstInteractns: ,1011, InteractnsHndld: ,1021, HndlTme: ,9.9, ASR: ,14.33, EstUtil: ,0.88, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,25, EstInteractns: ,1011, InteractnsHndld: ,1023, HndlTme: ,9.9, ASR: ,10.85, EstUtil: ,0.84, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,26, EstInteractns: ,1011, InteractnsHndld: ,1023, HndlTme: ,9.9, ASR: ,10.16, EstUtil: ,0.81, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,27, EstInteractns: ,1011, InteractnsHndld: ,1025, HndlTme: ,9.9, ASR: ,10.18, EstUtil: ,0.78, Tmestmp: ,9/29/2023 7:28
 AgntStrts: ,28, EstInteractns: ,1011, InteractnsHndld: ,1022, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.75, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,29, EstInteractns: ,1011, InteractnsHndld: ,1021, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.73, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,30, EstInteractns: ,1011, InteractnsHndld: ,1020, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.7, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,20, EstInteractns: ,1019, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,75.85, EstUtil: ,1, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,21, EstInteractns: ,1019, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,48.23, EstUtil: ,1, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,22, EstInteractns: ,1019, InteractnsHndld: ,1030, HndlTme: ,9.9, ASR: ,29.82, EstUtil: ,1, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,23, EstInteractns: ,1019, InteractnsHndld: ,1026, HndlTme: ,9.9, ASR: ,15.08, EstUtil: ,0.92, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,24, EstInteractns: ,1019, InteractnsHndld: ,1029, HndlTme: ,9.9, ASR: ,14.62, EstUtil: ,0.88, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,25, EstInteractns: ,1019, InteractnsHndld: ,1028, HndlTme: ,9.9, ASR: ,10.76, EstUtil: ,0.85, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,26, EstInteractns: ,1019, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,10.14, EstUtil: ,0.82, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,27, EstInteractns: ,1019, InteractnsHndld: ,1032, HndlTme: ,9.9, ASR: ,10.15, EstUtil: ,0.79, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,28, EstInteractns: ,1019, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,9.91, EstUtil: ,0.76, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,29, EstInteractns: ,1019, InteractnsHndld: ,1026, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.73, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,30, EstInteractns: ,1019, InteractnsHndld: ,1026, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.71, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,20, EstInteractns: ,1026, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,76.47, EstUtil: ,1, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,21, EstInteractns: ,1026, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,48.56, EstUtil: ,1, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,22, EstInteractns: ,1026, InteractnsHndld: ,1026, HndlTme: ,9.9, ASR: ,29.57, EstUtil: ,1, Tmestmp: ,9/29/2023 7:29
 AgntStrts: ,23, EstInteractns: ,1026, InteractnsHndld: ,1026, HndlTme: ,9.9, ASR: ,14.93, EstUtil: ,0.92, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,24, EstInteractns: ,1026, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,14.68, EstUtil: ,0.88, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,25, EstInteractns: ,1026, InteractnsHndld: ,1027, HndlTme: ,9.9, ASR: ,10.74, EstUtil: ,0.85, Tmestmp: ,9/29/2023 7:30
 AgntStrts: ,26, EstInteractns: ,1026, InteractnsHndld: ,1025, HndlTme: ,9.9, ASR: ,10.13, EstUtil: ,0.81, Tmestmp: ,9/29/2023 7:30
